gene_symbol,gene_id,num_methods,methods,mean_corr_rank_score,mean_correlation,mean_abs_correlation,geo_mean_p_value,correlation_score,expression_level,expression_variability_cv,expression_level_score,expression_stability_score,mean_rank_stability_perc,rank_stability_score,final_score
Zfp3,ENSCGRT00001024171,2,"pearson, regression",1018745661913.481,211043.17659576397,211043.17659576397,2.0705982848885873e-07,0.0007757576318429502,0.025097499999999995,6.220115049903933,0.426915951107119,0.011642966931524557,38.0,0.38,0.18713153342460156
Spdef,ENSCGRT00001016271,1,regression,326854.3062621602,7113.149239850667,7113.149239850667,0.021762446052829388,2.4889403907482636e-10,2.91253,1.5036617299895219,0.4271054706342449,0.39322900290184226,0.0,0.0,0.18711599172510743
Pigyl,ENSCGRT00001001128,2,"pearson, regression",8948585136.137955,646.1512083083084,646.1512083083084,7.210708061421768e-08,6.814196588102833e-06,34.45,1.5262260942663968,0.4291768461551901,0.3886638118486695,0.0,0.0,0.18705535130249268
Rad21l,ENSCGRT00001028895,1,regression,990872906.6043122,97302.35974823353,97302.35974823353,9.819852779545103e-05,7.545329989831981e-07,0.35006750000000003,1.5046750700950804,0.426937279768361,0.39302357825175904,0.0,0.0,0.18703502248147175
Snx20,ENSCGRT00001025715,1,regression,604920.9141352085,26149.39976270838,26149.39976270838,0.043227799024934226,4.6063706904074734e-10,0.7000612499999999,1.5049035787606508,0.4269602511099772,0.39297726012376444,0.0,0.0,0.18703466453581266
U1-ENSCGRG00001008444,ENSCGRT00001009822,2,"pearson, regression",659763405652.6188,208346.49320826126,208346.49320826126,3.1568970798201796e-07,0.000502398700951899,0.025097499999999995,6.220115049903933,0.426915951107119,0.011642966931524557,38.0,0.38,0.18702218985224514
Cbl,ENSCGRT00001024678,1,regression,5906.916180241308,-154.373120508943,154.373120508943,0.026134300065850092,4.498017001487823e-12,123.48752499999998,1.5856892501534117,0.43503799036030094,0.376728301270873,0.0,0.0,0.18702064230052043
Eif2a,ENSCGRT00001019861,1,regression,1126.7498629741542,-40.76854106450583,40.76854106450583,0.03618242370513252,8.580010085524487e-13,395.2000175,1.7702221952809731,0.45303005709750344,0.3406820150960974,0.0,0.0,0.18701131939400883
Trappc1,ENSCGRT00001029585,2,"pearson, regression",83180537916.39882,23409.229967387782,23409.229967387782,2.813267682533554e-07,6.334057608475828e-05,0.9250575,1.5073336886397652,0.42697501858497483,0.3924848022401046,0.0,0.0,0.18699056214194204
Or9g8,ENSCGRT00001004214,1,regression,12326333.998095002,29969.125470108458,29969.125470108458,0.00243130879319891,9.386295352371784e-09,0.9000587499999998,1.5070427535881672,0.42697337780268596,0.39254374826188376,0.0,0.0,0.18697357933460648
P2ry14,ENSCGRT00001003520,1,regression,565137.0451991301,-9018.923918333086,9018.923918333086,0.015958826161610935,4.3034232413510125e-10,2.40004125,1.508905922206773,0.42707183135751375,0.3921663080337381,0.0,0.0,0.18694649578445174
Txlng,ENSCGRT00001020299,1,regression,24728.309100053797,-722.5192178240129,722.5192178240129,0.02921830248998344,1.8830190129013164e-11,26.9125575,1.5249704391958931,0.4286815597614737,0.3889173498346319,0.0,0.0,0.18694207041116898
ENSCGRG00001016319,ENSCGRT00001020047,1,regression,1776487.8183264565,30124.124348978617,30124.124348978617,0.016957123972686918,1.3527654982641008e-09,0.71255875,1.5080828279378942,0.42696107137142786,0.3923330343993845,0.0,0.0,0.1869382771124422
Srcin1,ENSCGRT00001021077,1,regression,264937.40853945137,8153.097725075166,8153.097725075166,0.03077367497299786,2.0174536620763332e-10,2.38754875,1.50939889521315,0.4270710113700524,0.39206646322591543,0.0,0.0,0.18693127297560116
Arhgap39,ENSCGRT00001021760,1,regression,18304064.637144145,3544.7196598185983,3544.7196598185983,0.00019365741433292896,1.3938236369361006e-08,9.17504625,1.5140317336878872,0.42751659064647823,0.391128588506777,0.0,0.0,0.18692427104525458
Dok5,ENSCGRT00001014209,2,"spearman, regression",3429233182.8257055,-102.39379894658626,102.39379894658626,6.602067745747155e-08,2.6113032058948386e-06,105.96254749999999,1.782919310088167,0.4338828697291481,0.3382628469967909,4.0,0.04,0.18690533248954538
Hhat,ENSCGRT00001023069,1,regression,81759.12033861935,2586.6878925014003,2586.6878925014003,0.031637912365156076,6.225819058342813e-11,7.46253375,1.5145754031862697,0.4274041581079083,0.3910185802754045,0.0,0.0,0.18687403449858642
Lix1,ENSCGRT00001022180,1,regression,2976817.7054073317,-53170.692585938596,53170.692585938596,0.017861588296681146,2.2667964536285582e-09,0.40006625000000007,1.5100209923377323,0.42694056134585834,0.39194047901401974,0.0,0.0,0.18687324116257903
Lamc3,ENSCGRT00001015143,1,regression,83019088.59235707,25076.031980823416,25076.031980823416,0.000302051300539369,6.32176351486997e-08,1.26255125,1.5118484040340658,0.4269971700005273,0.3915704833957304,0.0,0.0,0.1868347487965718
Trp63,ENSCGRT00001011433,2,"spearman, regression",60625466.01246549,3591.879007802336,3591.879007802336,6.973934022406911e-06,4.6165269410687974e-08,4.687547500000001,1.564233972884961,0.4272219863136209,0.38101844405340635,1.0,0.01,0.18681938096820497
Npff,ENSCGRT00001015284,1,regression,3285391.7004565825,17513.16603252694,17513.16603252694,0.005330617259900517,2.501770344165777e-09,1.41254375,1.5170833516438547,0.42700701485815473,0.39051125564195255,0.0,0.0,0.1866787938044474
Irx5,ENSCGRT00001024301,1,regression,31301954.878483247,1163.2408320477698,1163.2408320477698,3.716182284359127e-05,2.3835910469525325e-08,30.18753375,1.5366978563393732,0.42889674141486234,0.3865517432951979,0.0,0.0,0.18665179345310257
Ckm,ENSCGRT00001021674,3,"pearson, spearman, regression",85151029351.46747,28787.560162468315,28787.560162468315,2.2476749977135468e-07,6.484107206367073e-05,0.40007374999999995,1.8787175438669679,0.42694056183810775,0.3202887412024884,7.000000000000001,0.07,0.18665141616063105
Fmod,ENSCGRT00001018450,1,regression,3439563.9603515123,-23713.227824272326,23713.227824272326,0.006894253967555971,2.6191699186653877e-09,1.0125587499999997,1.5178902798565588,0.4269807617048372,0.3903480750714683,0.0,0.0,0.18664644081983936
Spata25,ENSCGRT00001019938,1,regression,499973.5432195736,19279.2775160911,19279.2775160911,0.03856059531059397,3.8072141690757455e-10,0.96255,1.518368103567118,0.4269774793922262,0.3902514590237467,0.0,0.0,0.18663096282351843
Lims1,ENSCGRT00001020465,1,regression,376085.0799655302,1725.4341244229242,1725.4341244229242,0.004587882313684338,2.863824425593518e-10,14.47502375,1.5273751854523068,0.42786460042455904,0.388431843686867,0.0,0.0,0.18662415679495073
Slc35g2,ENSCGRT00001012485,2,"pearson, regression",7013229239.67647,13212.924446586894,13212.924446586894,1.8839000797116905e-06,5.340455728983711e-06,1.52505375,1.5201001745211462,0.4270143995648911,0.3899013061594525,0.0,0.0,0.1865916519756768
Msr1,ENSCGRT00001005377,1,regression,1203914.4770688147,55091.55163411672,55091.55163411672,0.0457603530508723,9.167605601560488e-10,0.32506875,1.5205946420828305,0.4269356390230448,0.3898013661431846,0.0,0.0,0.18655089699509536
Dock6,ENSCGRT00001031706,1,regression,303502.34265482094,2472.366963530451,2472.366963530451,0.008146121415583562,2.3111191281488577e-10,9.462548750000002,1.5270550559754181,0.4275354669428896,0.3884964634635488,0.0,0.0,0.18653510969484396
ENSCGRG00001005229,ENSCGRT00001006180,2,"pearson, regression",170402215654.83368,9118.617312798451,9118.617312798451,5.341231659610038e-08,0.0001297584119562239,2.4625362500000003,1.524763601953711,0.4270759334340861,0.38895911953955886,0.0,0.0,0.18651855132594217
ENSCGRG00001002386,ENSCGRT00001002910,1,regression,683435.561227131,3554.4511450874566,3554.4511450874566,0.005200857664417942,5.204246479921143e-10,6.934877500000001,1.526669373674757,0.42736951710850957,0.3885743206199853,0.0,0.0,0.18649700343372053
Ss18,ENSCGRT00001029876,1,regression,135872671.03545082,938.7332745667171,938.7332745667171,6.908818971069541e-06,1.034647463594198e-07,40.07503875,1.5483129329643421,0.42954656073165987,0.3842140633023403,0.0,0.0,0.18649611910074754
Sgcz,ENSCGRT00001014669,2,"spearman, regression",7570252201.81587,64654.36057972196,64654.36057972196,1.505568430007542e-06,5.7646193157810064e-06,0.2750725000000001,1.6230980052878603,0.4269323576192774,0.36929449883058263,2.0,0.02,0.18647618795809692
Themis,ENSCGRT00001005040,1,regression,419851.33089221915,-3413.981212726543,3413.981212726543,0.008131404903460508,3.197097041545192e-10,6.8500225,1.5279830525373486,0.42736394638528025,0.3883091533941626,0.0,0.0,0.1864555570525923
Enpp6,ENSCGRT00001016622,2,"spearman, regression",2394231.4674470937,5402.683735547325,5402.683735547325,4.655720207182978e-05,1.8231668636331014e-09,2.30004,1.6258968493095716,0.4270652674487095,0.36874075373492676,2.0,0.02,0.1864306940241186
Ereg,ENSCGRT00001031773,1,regression,54777.72765182551,393.615610877994,393.615610877994,0.007185686998593558,4.1712315320295477e-11,58.937512500000004,1.5633877364708229,0.4307868982487247,0.3811880415647775,0.0,0.0,0.18641427572601896
Taar6,ENSCGRT00001002624,3,"pearson, spearman, regression",24785247970.79623,29401.692644573337,29401.692644573337,5.406882756766251e-07,1.8873548118331122e-05,0.46256499999999995,1.526421449405629,0.4269446633472847,0.38862437175443054,0.0,0.0,0.18638460418659733
LONP2,ENSCGRT00001011289,1,regression,12784397.335963516,57264.839186300465,57264.839186300465,0.004479275510842442,9.735102855072231e-09,0.43756500000000004,1.5263102016691723,0.42694302251269156,0.38864683129304156,0.0,0.0,0.18637993534180483
Wfikkn2,ENSCGRT00001028673,1,regression,530104.8699857793,18371.974769424414,18371.974769424414,0.03465724568217375,4.036659138220782e-10,1.0250499999999998,1.526769598013742,0.42698158156611343,0.38855408792332347,0.0,0.0,0.1863775878197989
Cox7a1,ENSCGRT00001027072,1,regression,5660191.682499849,8163.754647337811,8163.754647337811,0.0014423105327968473,4.310140459539112e-09,3.412545,1.5287695783022592,0.42713829179565616,0.38815042411247935,0.0,0.0,0.1863640528796249
Rnps1,ENSCGRT00001025889,1,regression,2586749.609442094,66203.18579476993,66203.18579476993,0.02559319436811418,1.9697661803264665e-09,0.30007,1.527016175354532,0.42693399827933665,0.3885043119832744,0.0,0.0,0.1863558470691986
Exoc4,ENSCGRT00001018647,1,regression,95979.3324410503,723.0020276021157,723.0020276021157,0.007532892755304839,7.308664215608687e-11,32.22504625,1.5479442813236768,0.429030629333854,0.3842881775770288,0.0,0.0,0.1863524154659452
Ccn2,ENSCGRT00001029605,1,regression,2662.4581934184057,59.476490194246814,59.476490194246814,0.02233893853245351,2.0274169895631243e-12,301.4375,1.7302889001184434,0.4468050343520922,0.34834430220761825,0.0,0.0,0.18629315563758134
Dapk2,ENSCGRT00001017092,2,"pearson, regression",12013844943.498535,10481.63024281147,10481.63024281147,8.723625872988066e-07,9.14834021004973e-06,1.9000612499999998,1.5801912701313856,0.42703901379334336,0.3778258532970896,1.0,0.01,0.18628924146865045
Tnrc6a,ENSCGRT00001018298,1,regression,142229375.5088783,1885.3054173093635,1885.3054173093635,1.3255287015263094e-05,1.0830526955671062e-07,19.487528750000003,1.5417310933523583,0.4281937997326768,0.3855380920728335,0.0,0.0,0.18628889705283588
