gene_id,anova_pvalue,kruskal_pvalue,anova_pvalue_adj,kruskal_pvalue_adj
ENSCGRT00001000122,0.08693683086660427,0.2163272145148169,0.1697224446376712,0.5445120800521307
ENSCGRT00001000123,0.006761269164367386,0.11308808510222598,0.03958095219414887,0.3617397349067276
ENSCGRT00001000124,0.613342890844585,0.9375516438338382,0.6869676577951209,1.0
ENSCGRT00001000125,0.0016077714488952736,0.0025228742918218822,0.026193063311919562,0.05701426669696451
ENSCGRT00001000126,0.4712855389630457,0.05342870767124813,0.5838939918782162,0.23855479366704235
ENSCGRT00001000127,,1.0,,1.0
ENSCGRT00001000128,0.04007328597658721,0.1759235812202487,0.09857162671760834,0.47694095865225533
ENSCGRT00001000129,0.010500515728647257,1.0,0.04632923248579206,1.0
ENSCGRT00001000130,0.27711673451535657,0.14090979029345313,0.4028242007829861,0.4160120834329825
ENSCGRT00001000131,0.028291906700911144,0.09835365102554917,0.07888692233392743,0.33246453727413244
ENSCGRT00001000132,0.31529012252195476,1.0,0.4283226125118327,1.0
ENSCGRT00001000133,0.0076482811846306864,0.048476094950014176,0.0413899904002506,0.22728137169300075
ENSCGRT00001000134,0.3578188657717954,0.2533390317896993,0.47195153510779225,0.6055747211315853
ENSCGRT00001000135,0.007686888222521658,0.031451539533810316,0.041481832608052153,0.18600545736452306
ENSCGRT00001000136,0.003472989953291614,0.00012719558110980497,0.032414105897763175,0.009709541379256581
ENSCGRT00001000137,0.2935042012686455,1.0,0.4139334878443825,1.0
ENSCGRT00001000138,0.018083189563240214,0.05688695703633083,0.060825490035690634,0.24606951432950644
ENSCGRT00001000139,,1.0,,1.0
ENSCGRT00001000140,0.009067569136567753,0.06488663446190392,0.04368888638578974,0.2642514069547421
ENSCGRT00001000141,0.10713661250329813,0.50989376451688,0.19806807717490701,0.9903995266958333
ENSCGRT00001000142,,1.0,,1.0
ENSCGRT00001000143,0.022422145452977015,0.01848017358666932,0.06856387933402963,0.14485325667934065
ENSCGRT00001000144,,1.0,,1.0
ENSCGRT00001000145,0.01459959358454546,0.07554505210161115,0.05439039275150749,0.2875620024844689
ENSCGRT00001000146,,1.0,,1.0
